age;year;rank;ICD-2_code;underlying_cause;total_N;percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;2;174;Malignant neoplasm of female breast;1.124;9,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;3;162;Malignant neoplasm of trachea, bronchus and lung;1.055;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;4;414;Other forms of chronic ischaemic heart disease;823;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;5;183;Malignant neoplasm of ovary and other uterine adnexa;449;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;6;496;Chronic airways obstruction, not elsewhere classified;416;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;7;199;Malignant neoplasm without specification of site;407;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;8;436;Acute but ill-defined cerebrovascular disease;352;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;9;153;Malignant neoplasm of colon;349;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;1995;10;157;Malignant neoplasm of pancreas;234;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;1;C34;Malignant neoplasm of bronchus and lung;1.088;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;2;C50;Malignant neoplasm of breast;993;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;3;I25;Chronic ischaemic heart disease;569;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;4;J44;Other chronic obstructive pulmonary disease;471;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;5;I21;Acute myocardial infarction;470;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;6;C56;Malignant neoplasm of ovary;450;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;7;C80;Malignant neoplasm without specification of site;353;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;8;C25;Malignant neoplasm of pancreas;289;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;9;C18;Malignant neoplasm of colon;275;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2005;10;J18;Pneumonia organism unspecified;207;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;1;C34;Malignant neoplasm of bronchus and lung;1.260;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;2;C50;Malignant neoplasm of breast;776;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;3;J44;Other chronic obstructive pulmonary disease;611;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;4;I25;Chronic ischaemic heart disease;447;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;5;C25;Malignant neoplasm of pancreas;341;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;6;C56;Malignant neoplasm of ovary;315;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;7;C80;Malignant neoplasm without specification of site;287;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;8;I21;Acute myocardial infarction;279;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;9;K70;Alcoholic liver disease;238;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60-64 years;2015;10;J18;Pneumonia organism unspecified;211;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;1;89&90B;Other bronchitis;2.753;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;2;79C;Other organic disease of heart;2.088;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;3;79A;Valvular disease;1.689;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;4;64E;Cerebral haemorrhage;1.546;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;5;40;Cancer of stomach, liver, etc;1.063;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;6;120A;Bright's disease (as 1901 list);679;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;7;41;Cancer of peritoneum, intestines & rectum;654;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;8;154B;Senile decay;603;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;9;10;Influenza;559;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1915;10;42;Cancer of female genital organs;518;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;1;74a(1);Cerebral haemorrhage so returned;1.807;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;2;90(7);Other or unspecified myocardial disease;1.476;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;3;44;Cancer of the pharynx, oesophagus, stomach, liver and annexa;1.278;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;4;90(4);Other or unspecified valve disease;971;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;5;45;Cancer of the peritoneum, intestines and rectum;925;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;6;90(9);Heart disease (undefined);770;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;7;90(2);Mitral valve disease;726;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;8;129;Chronic nephritis (including unspecified over 10 years of age);713;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;9;99b;Chronic bronchitis;675;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1925;10;99c,99d;Bronchitis not distinguished as acute or chronic;652;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;1;46;Cancer of the digestive organs and peritoneum;2.773;11,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;2;93b(3);Other myocardial degeneration;2.479;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;3;82a(1);Cerebral haemorrhage so returned;1.594;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;4;93c;Myocarditis, not returned as acute or chronic;968;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;5;131;Chronic nephritis;934;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;6;93b(2);Cardio-vascular degeneration;859;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;7;50;Cancer of the breast;822;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;8;59;Diabetes;813;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;9;94;Diseases of the coronary arteries, Angina pectoris;764;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1935;10;92(2);Mitral valve disease;673;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;1;83a;Cerebral haemorrhage;2.953;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;2;93c(3);Other myocardial degeneration;2.275;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;3;94a;Diseases of the coronary arteries;1.507;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;4;93c(1);Cardio-vascular degeneration;1.401;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;5;83bc;Cerebral embolism, thrombosis and softening;1.312;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;6;46b;Cancer of the stomach and duodenum;1.037;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;7;50;Cancer of the breast;980;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;8;46c;Cancer of the intestines other than duodenum or rectum;937;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;9;106b;Chronic bronchitis;804;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1945;10;93d;Myocarditis not distinguished as acute or chronic;650;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;1;420;Arteriosclerotic heart disease, including coronary disease;4.006;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;2;331;Cerebral haemorrhage;2.477;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;3;422;Other myocardial degeneration;1.964;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;4;332;Cerebral embolism and thrombosis;1.897;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;5;170;Malignant neoplasm of breast;1.071;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;6;443;Other and unspecified hypertensive heart disease;940;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;7;151;Malignant neoplasm of stomach;920;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;8;502;Chronic bronchitis;867;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;9;153;Malignant neoplasm of large intestine, except rectum;720;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1955;10;491;Bronchopneumonia;619;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;1;420;Arteriosclerotic heart disease, including coronary disease;5.964;22,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;2;331;Cerebral haemorrhage;1.980;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;3;332;Cerebal embolism and thrombosis;1.607;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;4;170;Malignant neoplasm of breast;1.183;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;5;491;Bronchopneumonia;849;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;6;153;Malignant neoplasm of large intestine, except rectum;793;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;7;502;Chronic bronchitis;769;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;8;422;Other myocardial degeneration;759;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;9;151;Malignant neoplasm of stomach;738;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1965;10;443;Other and unspecified hypertensive heart disease;574;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;1;410;Acute myocardial infarction;5.310;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;2;412;Chronic ischaemic heart disease;1.712;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;3;174;Malignant neoplasm of breast;1.609;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;4;436;Acute but ill-defined cerebrovascular disease;1.270;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;5;485;Bronchopneumonia, unspecified;1.198;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;6;162;Malignant neoplasm of trachea, bronchus and lung;1.193;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;7;431;Cerebral haemorrhage;834;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;8;153;Malignant neoplasm of large intestine, except rectum;828;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;9;433;Cerebral thrombosis;803;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1975;10;151;Malignant neoplasm of stomach;644;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;1;410;Acute myocardial infarction;4.212;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;2;162;Malignant neoplasm of trachea, bronchus and lung;1.653;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;3;414;Other forms of chronic ischaemic heart disease;1.642;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;4;174;Malignant neoplasm of female breast;1.515;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;5;436;Acute but ill-defined cerebrovascular disease;1.258;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;6;153;Malignant neoplasm of colon;678;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;7;183;Malignant neoplasm of ovary and other uterine adnexa;536;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;8;496;Chronic airways obstruction, not elsewhere classified;531;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;9;199;Malignant neoplasm without specification of site;512;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1985;10;157;Malignant neoplasm of pancreas;398;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;1;410;Acute myocardial infarction;2.504;12,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;2;162;Malignant neoplasm of trachea, bronchus and lung;1.784;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;3;414;Other forms of chronic ischaemic heart disease;1.609;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;4;174;Malignant neoplasm of female breast;1.394;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;5;496;Chronic airways obstruction, not elsewhere classified;984;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;6;436;Acute but ill-defined cerebrovascular disease;830;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;7;199;Malignant neoplasm without specification of site;730;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;8;485;Bronchopneumonia, organism unspecified;593;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;9;153;Malignant neoplasm of colon;556;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;1995;10;183;Malignant neoplasm of ovary and other uterine adnexa;544;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;1;C34;Malignant neoplasm of bronchus and lung;1.518;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;2;I25;Chronic ischaemic heart disease;1.003;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;3;C50;Malignant neoplasm of breast;997;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;4;J44;Other chronic obstructive pulmonary disease;836;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;5;I21;Acute myocardial infarction;835;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;6;C56;Malignant neoplasm of ovary;524;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;7;C80;Malignant neoplasm without specification of site;513;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;8;C18;Malignant neoplasm of colon;403;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;9;C25;Malignant neoplasm of pancreas;376;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2005;10;I64;Stroke not specified as hemorrhage or infarction;338;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;1;C34;Malignant neoplasm of bronchus and lung;2.076;13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;2;J44;Other chronic obstructive pulmonary disease;1.164;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;3;C50;Malignant neoplasm of breast;1.008;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;4;I25;Chronic ischaemic heart disease;687;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;5;C56;Malignant neoplasm of ovary;544;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;6;I21;Acute myocardial infarction;531;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;7;C25;Malignant neoplasm of pancreas;477;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;8;C80;Malignant neoplasm without specification of site;431;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;9;J18;Pneumonia organism unspecified;388;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65-69 years;2015;10;C18;Malignant neoplasm of colon;345;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;1;89&90B;Other bronchitis;3.877;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;2;154B;Senile decay;2.743;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;3;79C;Other organic disease of heart;2.535;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;4;64E;Cerebral haemorrhage;1.967;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;5;79A;Valvular disease;1.753;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;6;40;Cancer of stomach, liver, etc;1.009;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;7;10;Influenza;757;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;8;120A;Bright's disease (as 1901 list);677;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;9;41;Cancer of peritoneum, intestines & rectum;666;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1915;10;81B;Arterial sclerosis;633;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;1;74a(1);Cerebral haemorrhage so returned;2.135;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;2;90(7);Other or unspecified myocardial disease;1.965;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;3;164(2);Other forms of senile decay;1.692;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;4;44;Cancer of the pharynx, oesophagus, stomach, liver and annexa;1.239;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;5;99c,99d;Bronchitis not distinguished as acute or chronic;1.127;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;6;90(9);Heart disease (undefined);1.015;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;7;90(4);Other or unspecified valve disease;1.000;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;8;99b;Chronic bronchitis;976;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;9;45;Cancer of the peritoneum, intestines and rectum;884;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1925;10;91b(2);Arterio-sclerosis without record of cerebral vascular lesion;852;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;1;93b(3);Other myocardial degeneration;3.672;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;2;46;Cancer of the digestive organs and peritoneum;2.932;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;3;82a(1);Cerebral haemorrhage so returned;1.843;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;4;93b(2);Cardio-vascular degeneration;1.454;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;5;93c;Myocarditis, not returned as acute or chronic;1.323;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;6;131;Chronic nephritis;1.028;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;7;97(1);Arterio-sclerosis, with cerebral haemorrhage;980;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;8;162b;Other forms of senile decay;966;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;9;94;Diseases of the coronary arteries, Angina pectoris;839;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1935;10;59;Diabetes;799;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;1;93c(3);Other myocardial degeneration;4.223;12,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;2;83a;Cerebral haemorrhage;3.536;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;3;93c(1);Cardio-vascular degeneration;2.380;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;4;83bc;Cerebral embolism, thrombosis and softening;1.952;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;5;94a;Diseases of the coronary arteries;1.735;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;6;46b;Cancer of the stomach and duodenum;1.113;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;7;106b;Chronic bronchitis;1.084;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;8;46c;Cancer of the intestines other than duodenum or rectum;1.003;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;9;97;Arteriosclerosis (ex. coronary or renal sclerosis or cerebral haemorrhage;905;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1945;10;93d;Myocarditis not distinguished as acute or chronic;839;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;1;420;Arteriosclerotic heart disease, including coronary disease;5.531;14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;2;422;Other myocardial degeneration;4.444;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;3;331;Cerebral haemorrhage;3.547;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;4;332;Cerebral embolism and thrombosis;3.484;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;5;443;Other and unspecified hypertensive heart disease;1.316;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;6;502;Chronic bronchitis;1.157;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;7;151;Malignant neoplasm of stomach;1.156;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;8;491;Bronchopneumonia;1.057;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;9;170;Malignant neoplasm of breast;1.012;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1955;10;153;Malignant neoplasm of large intestine, except rectum;946;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1965;1;420;Arteriosclerotic heart disease, including coronary disease;8.307;22,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1965;2;332;Cerebal embolism and thrombosis;3.193;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70-74 years;1965;3;331;Cerebral haemorrhage;2.833;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
